,0,1
ATP6V0B,9.46882703691673,6.313160902801883
ATP6V0C,9.475135913735933,6.448700798313627
ATP6V1C1,9.528798461519434,6.2207084851929615
ATP6V1D,9.454053793812607,6.422613366855947
COG3,4.538637060141352,3.806212659094354
COG4,4.492470471634493,3.964246209590084
COG6,4.622930078101626,3.8957161090614343
VPS52,4.495534872888763,3.9100144161472232
ATP6V1A,9.484019304792696,6.372976633428967
COG8,4.549920471769975,3.938218697282508
SOCS3,10.039006932475962,6.279161700872607
ATP6AP1,9.47878678887617,6.455285998232439
ATP6V1E1,9.45582035020984,6.359539350056692
COG2,4.548292756327789,3.883174520014193
AP2M1,14.133690513002884,5.652930418698514
TGFBR1,9.1815239978842,3.5202012395806626
ATP6V1F,9.458569827708073,6.245172720041336
UNC50,4.897752963917274,3.9116593055493194
ATP6V1G1,8.794214818947616,5.647267363027065
ATP6AP2,9.459697375642662,6.2393905290019775
RPTOR,9.139383568758557,4.3962722496965325
ATP6V1H,8.727315512303147,5.602636406422489
ELOF1,7.699612836558168,4.328688309793638
EMC6,8.583544024802663,5.01117855952605
MPDU1,7.464624374435725,4.289343559652193
EMC3,7.056973362925748,3.811723306747512
TRAPPC1,5.072993394034429,4.418753536301811
RPS10,4.513215152782207,11.7943994315908
DCAF7,8.448421167226833,4.957460674907498
ATP6V0D1,8.585856415612444,5.58623427937825
GTF3A,8.887361687262805,4.111630455724733
DPM1,8.472842177089177,5.640857165185833
EMC2,7.5880665646613314,4.307956685082163
ALG3,8.336055030844037,5.684331406935384
AFP,7.616818501803499,3.623209234687939
MSI2,7.6532596724752775,3.7448249942889107
AP3M1,8.2453234983465,4.1461551350641335
TIPRL,8.231284196882068,4.126069389266525
KCTD5,8.427643124829226,-1.7627468119347203
HNF1B,8.919930548121885,2.339754427753872
MRPL20,7.543778500278207,4.602237905659286
UPF3B,6.954760829144103,-5.374453647403391
SBDS,12.459831799603808,3.2787624912576776
MRPL17,7.501081250564096,4.641589916103589
CTBP2,15.420906121633413,-0.11752460446068798
TKT,12.269750029353563,1.3820763973220782
GIT1,7.89988205634517,2.3535917342357746
STAG2,9.759989453069801,-0.9019669078446797
CFL1,7.902764844208061,2.34397925486911
SGMS1,8.309732486521309,3.9251578404855447
ANP32B,7.859351484632347,4.796438405179778
C1QBP,7.873712072551331,3.963353901949075
MON2,8.093161008050346,3.3780956699587468
NDUFS2,7.457890579351944,4.089468779980743
MRPL55,7.531697566731871,4.589690325046806
RAB5C,9.426201002199942,5.195939332513991
NELFA,11.664087911291897,-2.2453660436503533
ZCRB1,12.026514220183158,1.729849154560101
ANKFY1,7.8304531191567515,3.678671769779266
MTIF2,7.486470091994906,4.644221235464097
GPAA1,10.420469134496363,3.699767785271789
RAB11A,3.3137452833522603,2.6916298757581476
ASB6,6.797841070405516,2.470642757171473
EIF3K,4.498191124331388,10.697166552689598
CUL3,5.604212322032784,1.0613732280952424
PSMB2,5.655444889462003,1.2035667347908283
TRMT11,7.82384286670709,3.7094962501246025
DDOST,4.078150434745223,11.373124307651363
WDR77,9.001892685359758,5.353182802334834
RNF7,6.394735174663297,1.9559262072475405
RABGEF1,7.205602074938351,3.5346873274048862
FIBP,7.8737613204144195,3.641146369979377
MATR3,10.691688539292528,-0.9791594732062494
A1CF,8.150245059720909,3.340843038511217
ATP6V0A1,8.22471528229099,4.498662214845542
ATG9A,10.997091818982636,6.334207703239987
SNRPB2,7.077121421235056,-5.432087709575761
METTL14,11.720025300572871,-2.236082130586553
NCAPH2,7.931561851034302,3.4707675326475043
RNF138,7.6945649704108074,3.5756129968834314
DPH5,8.467396745442574,4.589025707744375
MET,14.244878851762495,4.023275628491943
AP1S1,5.569811896516105,5.606457787984613
EMC4,8.410727421107621,4.663841766260274
TSNAXIP1,7.850158216437789,3.4906160462216227
MMGT1,8.454184759539386,4.5708891479739
SUPT20H,12.06138458046185,3.383135807236348
DYRK1A,12.058024547150225,3.2614849605203227
VAC14,7.884069313336899,3.444923560040076
LRRC59,8.186900116548145,3.8657754268388635
ATP6V0A4,7.84524854252455,3.635504941518732
CACNA2D1,8.600932282391213,3.859895887374998
FBXW7,5.675756369600744,1.1503766364947692
SLIT2,7.910092273070294,2.377443889893531
ZNF670,13.043787642501888,1.2488079589507621
ASB10,6.745660078990623,2.4879665112084735
ARIH1,8.284711269427007,4.586162550889137
GSK3B,14.4198995383395,2.7731076590806727
MTMR9,9.16924673711368,4.914780247278395
ATG13,9.10002121926658,2.8222817242099625
CASP9,9.160302442032155,4.770206896180978
ODC1,6.679503665944275,2.4756230838128372
PAK2,9.243271599937797,3.5666434438721466
AP1M1,9.416469707657424,5.181322778627551
CLCN5,8.273302730087558,5.591622397485746
NCOA7,8.168415006125628,3.40296584976429
YTHDF2,7.925601626505456,3.4325580926863655
ELAVL1,6.932818547730114,-5.392965937733404
RABGGTB,11.261953531741261,5.945245863688401
LRPPRC,8.532754122961943,3.327781394211901
ALG9,7.924940686862889,3.4715803355673436
MRPS25,8.291542486489595,3.775031662309443
HIF1A,15.065339888711444,1.4604806091981308
DFFB,8.353648917209998,5.24303119079915
HNRNPA0,7.248901181472596,-5.265098168713834
ROR2,8.626957868063407,3.839491015296217
WRAP53,7.477085666068356,3.0499841279916153
SRM,7.989360206050123,3.8781862965949716
FNIP1,7.951263807450402,3.842469580235489
MTMR6,8.544307544180333,5.459867797110104
CASP3,9.272946249289662,3.5843104304440305
HNRNPA2B1,7.099471739415408,-5.527123304878435
F11R,7.878697787623233,2.287830425635919
C5AR2,8.252610664269397,3.8267250624531957
