,pathogen-count,pathogen-aggr--log10p:flu,pathogen-aggr--log10p:hrv,pathogen-aggr--log10p:rsv,pathogen-aggr--log10p:piv3,pathogen-aggr--log10p:hucovNL63,pathogen-aggr--log10p:hucovOC43,pathogen-aggr--log10p:hucov229E,pathogen-aggr--log10p:sars2,pathogen-aggr--log10p:mers,mashup:0,mashup:1,mashup:2,mashup:3,mashup:4,mashup:5,mashup:6,mashup:7,mashup:8,mashup:9
ATP6V1H,3.0,9.838174083714097,2.8471920365809362,3.457834604639921,0.4832663633836135,4.420159263131557,1.4552500285520917,1.9100242773122713,1.5953372991262778,1.5519262840096009,-3.0681183147388733,0.0764811643600749,-0.0857203376086471,-0.18861715776403523,-0.10117420875756049,0.03751090517144433,-0.13032130531873617,-0.08277523311816753,-0.0905523464201366,0.03601728936119073
ELOF1,3.0,4.167001443632199,0.347908446303636,3.415352217970375,0.6910302918217505,3.964090201543391,0.14498387531984186,0.9936623396254491,0.15534268222146747,0.6627336789996882,-3.106171554617607,-0.020464004762474553,-0.07504564758081289,-0.013802917813934081,0.028360223624804323,-0.07005910343166008,0.034545949715662924,0.06324578325757128,-0.018302093187580873,0.0021778372584503624
EMC6,4.0,5.249065532472387,0.21785716349450135,3.1818005080688945,0.8604042415300279,4.493210942605015,2.7479483625934837,3.269516505447269,0.44338395531746144,0.822480183370329,-3.102188354628914,0.0015779344675124801,-0.08970919711448312,-0.04200730709402137,-0.00671007757280006,-0.10443935520650495,0.054467650098369645,0.039423248108496164,-0.03063959238283794,-0.019413316703312936
MPDU1,2.0,4.228619945388093,1.2281627430341713,3.1351864420794167,2.170573998516554,1.559389991727655,0.08185428628864796,1.0307285658485434,0.7971304122847893,1.4873061522540907,-3.105872983210522,-0.007462319823297846,-0.09415548293413481,-0.031583481866147185,0.030193314438086503,-0.09119634691988439,0.062142372657016026,0.024243190988025524,-0.020341022175212765,0.016977109703982144
EMC3,1.0,3.437564772860893,0.5303399545368926,3.039529222465701,0.5392975585745469,0.5105055780578478,1.8347853600896706,1.5994447427810936,0.6830656264404654,1.169850035503963,-3.1060664774596707,5.455826863950764E-5,-0.08619329721877281,-0.02600961114823224,0.027288617168570464,-0.10945860910117224,0.05094033858504503,0.056303901623122966,-0.016292856116380396,-0.015895737978951524
TRAPPC1,1.0,5.030374068342949,0.1898145443283591,2.8821654814562527,1.5518349534443088,0.9046214004399361,2.345448066421139,2.0633304622172157,0.7751821626049598,2.291230726058067,-3.0659784731896984,0.13392375721414512,-0.2772599326483859,-0.5375440941092354,-0.2941350855048374,-0.22272242654065674,-0.44358057065342427,-0.04865348960739507,-0.18511801134601805,0.339618283723901
RPS10,2.0,3.7413282657573683,2.0824209764430623,2.5596104937541027,0.38854223433165763,0.15126912298133482,1.8618868535128332,1.719285080508993,1.3412637935513765,5.067781111662153,-3.035746024180381,-0.5213376070858556,-0.7958823680035985,-0.24917479832102815,0.6836709717771232,0.44890540631177334,0.7809868223442056,-1.5298460528339652,0.30960735207945334,0.5220311263880922
DCAF7,2.0,5.745828824427619,0.5664861793354568,2.5301927061182097,0.43442370023617244,1.9927644624540481,0.7027648981576945,3.6705410999402774,0.4676661094849882,1.260371150818761,-3.0757173443756955,-0.19528083163028592,-0.08566352020767974,-0.07198174108714817,-0.3057468757311371,0.13255766817902853,0.312088606372665,0.28929779828071767,-0.07643435354695509,-0.06465863425411579
ATP6V0D1,3.0,7.039343669393298,3.4518932416697443,2.4468089988710284,0.45875783945071574,1.3399127767011296,0.25107584764193486,1.3891695587342852,1.2585962525196626,3.5991037998342996,-3.046136934358459,-0.04152900218701866,-0.07923849952080296,-0.1366689882037551,-0.1680378588746539,-0.037677675215482466,-0.15818884588423715,-0.10741649543871941,-0.016699884865673323,0.14123356434789436
GTF3A,2.0,3.779530548513822,3.1758220799138153,2.214485095304078,2.095939364613187,2.315298230514906,2.0315544117180915,1.0586774321139107,0.13572630319562073,0.41115421634942,-3.0514561979434918,-0.3631628941213239,0.28536139714768133,0.256112993192623,0.17929510801894324,-0.028444944889114056,-0.2609046362983347,0.14383173640184166,0.014246837771983241,0.13590488285184843
DPM1,2.0,7.451569067183844,1.350713831739381,2.0870556063289123,0.8865580460346785,0.42183086158768796,0.9891066868956195,2.0088271064797745,0.2766264329810155,3.3347039653994925,-3.1054991356291857,-0.01871510335387129,-0.10358937730070622,-0.023089012192854627,0.05444533289271653,-0.08207371625020353,0.028519687956505994,0.06839886231078258,-0.023930219316842045,-0.03234737009804929
EMC2,1.0,3.958939387223476,0.29560065050711254,2.0804930574124665,1.0901819755448359,2.0421820809258584,1.3964118124894838,1.2755357038645823,1.3544598386494866,0.8823832629195673,-3.104094529706243,0.0014747389975403758,-0.08941855530047157,-0.033177121348780106,0.027155426313910765,-0.12816301910962866,0.06477842319346092,0.06726291292031733,-0.0058946163145891005,-0.021860642017776436
ALG3,1.0,11.100133135765166,0.15963039636539827,2.0710309297146896,0.7109018009433836,0.639520191828058,0.5775743236287955,0.4587828190021952,0.804183341727128,1.100427696213154,-3.1023717576307637,-0.023628213945416095,-0.11950848549099702,-0.051477796371293294,0.035709932274827806,-0.08194081389297506,0.10089873996166769,-0.020806642866044663,-0.0210677495448212,0.06657336363424872
AFP,1.0,3.311954988668294,0.8028573350274373,1.9475369225166712,0.6706834949097412,0.4246504797773975,0.3895527785578788,1.5173264664966704,0.36114150015329644,1.8006224836249178,-3.0888808560289003,-0.009141088128870678,0.04527888907678048,0.01277580791336725,0.04222114580400678,-0.15646668372490702,0.0019494191111162605,0.014775156003068793,0.11264801890286562,0.025273907910217556
MSI2,1.0,4.550202830147327,0.8068197264346547,1.7765819430947059,0.24274825382790158,0.45778475592318524,1.0083752654659948,1.0016839802525648,0.13675448688002584,1.2577286400251075,-3.0982553439465557,-0.059503820417109485,-0.13630292487121515,-0.0480472319689558,0.0756852771937079,-0.07152870541408612,0.09317425649006236,-0.08060986485287867,0.006701873739094615,0.04316546495567988
AP3M1,1.0,3.5559919424304436,1.9212532657263928,1.7554260271825646,1.4785219392657007,0.5841922723644567,0.5807383560089915,0.5174980113897117,0.14829535254761206,0.7631213153521015,-3.101887788539779,0.007562977341513676,-0.09598849712259633,-0.07266183039404545,-0.020807377243634233,-0.09928577798441082,0.007006807360844817,0.0563011714060442,-0.05046166120553979,0.04629243130283497
TIPRL,1.0,4.169659880186039,2.604463937881564,1.754635412365237,1.0219336659163798,0.849304948857286,0.14580330483997286,1.4348844901806235,0.4182209542715414,0.710641724191827,-3.096035718880934,-0.01830524182697592,-0.08947100017267266,-0.03827340784311071,-0.04005829516066039,-0.030740120206315235,0.044423191939115,-0.04441685773702282,0.009468088799685968,0.030531537552242395
KCTD5,3.0,4.9388938309968236,0.8338067848299326,1.7316326745785162,0.5822294688830746,0.3984179955431339,0.10975787805837998,3.191093902001989,0.6946916321358563,7.1099426473150835,-3.0951635123906214,-0.08035572402572003,-0.026754545289883476,-0.01225991027939333,-0.02444698085912472,-0.021570871976089947,0.06443411304839185,0.0770044747604558,0.009138492666029587,-0.01133757048329783
HNF1B,2.0,4.06817758551519,0.4851203447772066,1.7296706029101416,0.15589576930248666,6.610479534153622,1.2057769328823325,1.1444384466615736,1.0754261140533443,0.5305793111787357,-3.075876075450291,-0.17518837755556663,0.21839207633682098,0.16425931680743078,0.012990577075206563,-0.1593772912098689,-0.1026219869698193,-0.03957966554667283,0.008895295068905953,0.14207640990849815
MRPL20,1.0,4.794810709832885,0.0742703200987568,1.6887548791217921,0.4379570755090413,0.4382667244150861,1.839651539238903,0.56755987705721,0.7060631861127064,0.4313937408706381,-3.095157433707273,-0.01925750057530216,-0.22120368295608303,-0.051086166968538356,0.10216534545468008,-0.33607935770659353,0.18713433202492658,0.1460338527111871,-0.11205422318975077,-0.0879881606701353
UPF3B,3.0,4.411988427948612,1.9070689243264476,1.6550578372347646,0.39473806215034524,6.610479534153622,1.0921159026193443,5.331800515801338,0.5279313624165146,2.59122935549921,-2.9947487317348465,-1.2024173993970615,-0.9804193493030826,-0.15637696743292007,1.1225637988064268,1.1887812382730634,-0.20049128812734154,-0.6722877290878456,0.20936565095419996,-0.13608456997816298
SBDS,4.0,3.4861718888700817,1.8027745938818083,1.653568781340177,3.195410825170695,6.610479534153622,0.8207930238445126,5.911580382983908,0.4485012076355333,0.9789370987836057,-3.1042986255721177,-0.029183253336587264,-0.12468604355703078,-0.032750868673410594,0.07798076482814824,-0.07597642685170954,0.09422140099060167,-0.05254214372261697,-0.00217341319544858,0.03142402672003331
MRPL17,1.0,4.27052226203242,0.6867234843509477,1.6391037839250793,1.2246371667838514,1.3392672960619052,2.946268684112393,0.3916344496968756,0.367370643858509,0.574741765608648,-3.095157433707273,-0.019257500575292557,-0.22120368295612886,-0.051086166968549424,0.10216534545471806,-0.3360793577066406,0.18713433202494176,0.14603385271118172,-0.11205422318966386,-0.08798816067010164
CTBP2,1.0,3.5423625205975107,0.17542512815073338,1.6349615178042947,0.7000788696698063,0.24252046106694283,0.40850131549418195,0.7422734394413679,0.6914355864387612,1.2525140467218991,-2.9173071356750344,-0.815392489360612,1.3662438484197388,0.8700151620184692,-0.128071321843207,-0.6032715567980041,-0.5418945795105847,-0.37102575339343574,0.2840624580662497,0.7505262274357043
TKT,3.0,3.592018200156271,0.5206406671930284,1.627898454352369,1.3316327229581455,0.3589723118225861,4.542435996032601,4.493278550756513,0.6266098003725303,0.46613128756118405,-3.106168704742365,-0.0019213443995362428,-0.06551888413189698,-0.015801590420789893,0.026988863290902974,-0.09565066908905441,0.034420110532242976,0.04017920187147428,-0.011987100346120437,-0.00934746379076906
GIT1,1.0,3.385612271972736,0.9940477131126171,1.5993756783382331,0.6789196353027616,0.4163252371462793,1.4934002719580364,0.3608323760041107,0.6800407709298185,0.5525511023929943,-3.056197126726471,0.3628506144133364,0.15188406532027668,-0.31710690431435784,0.13275945916574947,0.14391970814260183,-0.0703235568274916,0.11716383937747972,0.34654696331135276,0.02642141054028454
STAG2,1.0,6.003878629606527,2.0412354990047534,1.5834759857313472,0.6374609801694013,1.579483168771383,0.9275662740316121,0.45676411612304174,0.39128146474085745,2.4957779455544333,-2.987370092524995,-0.7253009694151202,-0.11886781548451492,-0.2555408427706338,-0.7178793159835052,0.356407006882597,-0.8186494105705914,-0.20551702055619026,0.08436891596231912,0.027405278676394283
CFL1,1.0,3.211468898263327,1.76957662610736,1.5592797826830962,0.4757726948063449,0.6515198965120104,1.774768277785354,2.0455789839641794,0.16880874097360984,0.42342570974657245,-3.0493554601207524,0.07417772720495434,0.16280391903111396,-0.2397569547364595,0.03356191374531068,0.11424881463842532,-0.05320395238313841,0.09896242466184149,0.33967564902671343,0.024834467162817665
SGMS1,1.0,4.605581333883091,0.7887459323821275,1.5372876268052642,1.770420537334355,0.302160631781637,1.109249333180476,0.30027497993882546,0.5166980476418329,0.2539512135364662,-3.0883692493330583,0.14225352880339645,0.1290211835014549,-0.13598849474703487,0.1464505245005316,0.0559837295263441,0.04588294561297257,-0.025942348990938273,-0.22674249115310213,-0.11513564842628035
ANP32B,1.0,5.000635172784512,0.8562671768613076,1.5222133370907605,1.2130641128437505,0.6200421706552992,1.1447110753655116,1.0857785258586758,2.929777366539042,0.6138516311464557,-3.087545848090423,-0.0938286070675907,0.032087321358099996,0.02604789191082003,-0.014949332234624017,-0.062792141847874,0.02579120521138804,-0.02314654120088983,-0.01875945169580094,-0.07031534117500393
C1QBP,1.0,3.9571133269374164,0.2671721626977128,1.4825929463478458,0.6439932751437999,1.5102242719095254,0.11179803346870261,0.4073015141518147,1.585143593209406,0.6630293068037572,-3.0175187223895015,-0.2340868117011661,0.16455820262686682,-0.04071711631904703,0.03951902530465804,0.23684476210552893,-0.03611098354846332,-0.17579385145901164,0.12171698897170112,-0.09616069051413348
MON2,1.0,3.1873352999759677,0.3079907638570717,1.4651872892510707,0.2525260435041542,2.658901961375951,1.1246145843969169,0.954325033230895,0.23080736220302303,0.4627972203356951,-3.102847619313179,0.019555370284063126,-0.10260854132062337,-0.06736233124916911,-0.0052268512362857915,-0.10194262897263016,0.018530983560688646,0.05945326104833268,-0.016017464640632473,0.014511532396493684
NDUFS2,1.0,3.6157115167167655,0.4225886325145007,1.435452288244052,1.6559812622540873,2.7295074963613817,0.19865804240333382,2.1110458721276104,1.1663748533863325,0.8291388141731847,-3.0725929385858466,0.14496971468547143,-0.30331027855222303,0.22756136762249518,-0.15522895286840516,-0.13813985244133717,0.1536509079860266,0.09808494336949576,-0.06938945492706608,-0.30361721736763525
MRPL55,1.0,3.245197267773404,0.405574298639335,1.4345772425683014,0.5948586246370503,0.7825687007321432,1.3504607009814642,0.7264663198487022,0.613483199313232,1.2170856920830815,-3.0951574337072723,-0.019257500575272788,-0.2212036829561894,-0.05108616696844493,0.10216534545471877,-0.3360793577066127,0.18713433202494456,0.14603385271116137,-0.11205422318966543,-0.0879881606700802
RAB5C,2.0,3.894665750333987,3.686786821821987,1.4288853819844525,0.7346867974457028,0.12619711664486313,0.41278308739498093,1.2710135020972626,0.865472282202662,0.35759647874944106,-3.0779244770815706,0.15186546424698305,-0.1431891039830353,-0.2683654124873663,-0.11538546201789306,-0.11504612973701367,-0.11733349078349342,0.07292324763402216,-0.13028022819629223,0.29677221637283124
NELFA,1.0,3.6936101109672435,1.5876402676318688,1.4095705953619508,0.5474316180119011,0.8582054364763427,2.390747185114997,1.6521432951486748,0.522430206021097,2.7900771676111322,-3.066009389101494,-0.5220345937669827,-0.08165380713657386,0.14720232293473792,0.21590459561694883,0.3017732510316232,-0.09625642101454286,0.49548244381400414,-0.06809754076386959,0.11616829991278789
ZCRB1,3.0,4.122805964625102,0.3529399363385226,1.3796869305976591,0.1208811729169305,2.9095303197688396,5.911651247711471,6.610550387319927,0.5302663240869421,1.2099167504951587,-3.0781791690284366,-0.4614055410218378,-0.29782877146593534,0.04886625354976774,0.476131537124757,0.39981246467816894,-0.30978313926120776,0.35305278435979026,-0.02539809087075127,-0.211222314509689
ANKFY1,1.0,3.8453823611701674,1.029392811104381,1.3586349725845543,0.7213149772743161,0.6526114320709703,0.5925241147087442,0.5110264752734918,0.38870163770357125,1.0302815083236518,-3.1030508141273025,0.03434115686168076,-0.08985626142492052,-0.08220204395532392,0.0010000239940320035,-0.08507193154628016,0.0030116552819348303,0.05696771194463102,-0.028574127909929144,0.056315244995166124
MTIF2,1.0,5.0830460215179585,0.14628962328266423,1.3368646850422459,0.11583927138618988,0.7959343075475215,0.44137541718340356,1.3766266431873426,0.8171005324517397,0.525352112599444,-3.0934235502888394,-0.023831382167318726,-0.21205616535824978,-0.05389044213360488,0.10166077746924468,-0.32121237731378893,0.18862641293317345,0.13247990746894775,-0.10491932969685734,-0.10100276025829084
GPAA1,2.0,3.369291677030914,1.003602169948054,1.3336130763457892,0.6983190507064237,0.622365965752408,0.36839390824828977,6.610550387319927,1.3477923506517342,0.31027345877802825,-3.0974808239108347,0.050692998191014464,-0.08201750390232543,-0.042002348458317185,0.05347078275974931,-0.1297770315238986,0.0612336044039818,0.0732737173548787,0.03165482264116859,-0.03550691587984908
RAB11A,1.0,3.4105461448032433,1.6307099105613192,1.2574083974700776,2.312292720375181,0.22460802830338808,1.0695043379687739,0.5135128469340929,0.368150537840182,0.8988726915930417,-2.9802236846906682,0.3724828802464649,-0.5296221653224352,-0.6897549839746765,-1.0509313176042507,0.13975772457122562,-0.7810630059445699,-0.3326574201550017,0.19982110343264542,0.03983992593414742
ASB6,1.0,3.451299575821264,0.732851747608879,1.2363100112230738,0.14081365064944512,1.428093277460779,0.3252123190867722,0.24053613278728925,1.2245716079518296,0.4915651253588013,-3.0865527576000074,-0.15039906525083807,-0.014752635151168036,-0.04780254146862034,-0.16767631226986313,0.12760799348438348,0.43564440100799734,0.33900326955175125,-0.13567713263311965,-0.06561793240744762
EIF3K,2.0,3.3225545861306487,0.3603143387573186,1.2340410194755826,0.844421068523068,3.7586278698415647,0.4410995185128042,1.7647746549881347,1.3487316801833071,2.2499642323976623,-3.0757021834620764,-0.26555996060923076,-0.4866839016146452,-0.15486127923925386,0.4238043506831497,0.151029669143194,0.5548724990226437,-0.9186064059563491,0.174204281511208,0.3561328885685395
CUL3,3.0,3.3264910346426557,0.6148944365573449,1.2206416424210391,0.8398917795890495,0.6035565398875724,1.0402242689748653,1.821857930162256,4.692311460404839,11.723700878731997,-2.996698134744127,-0.4937733132818307,0.2581310944623052,-0.06313469704791624,-0.9626448013358027,0.6286221073144093,0.9448939527360343,0.4096769506455205,-0.04694028183114728,-0.10822120889749266
PSMB2,1.0,3.118407496949512,0.23861348847417108,1.2144993286340884,0.06468422871097027,1.3660268442103265,0.5717031860171204,0.47150752216946773,1.7172872769647334,1.1312794834570892,-2.948135033729812,-0.5029175922658126,0.5120285627117978,-0.13508178875039062,-1.266548983476699,0.8918403761426302,1.0932916117640916,0.21825684939625112,0.10501006139853662,-0.3420732084272611
TRMT11,1.0,4.293559781831857,2.026844426360597,1.180725937287283,0.2886737126060959,0.516384178878726,0.4600336320032871,0.495882697863571,0.8330373361428327,1.1279746907061832,-3.10653277073013,-0.010189776369863315,-0.09470038406200032,-0.025091566527415787,0.043952313890456625,-0.08533582243574069,0.06092914909643885,0.0034389829069103733,-0.011594962667624109,0.008560015143933241
DDOST,2.0,3.33503415448318,2.0124499199194026,1.1413485294440675,1.363672611634012,2.3750890968151626,0.44834266371372816,0.7530830829850744,0.09457653167316239,4.765027321483261,-3.06164095686325,-0.3328439077857362,-0.6255946223581561,-0.2070004025021383,0.5074294936443878,0.17925753978198944,0.692806872789132,-1.1515700670755906,0.20606159207257493,0.5187850836624569
WDR77,3.0,7.0951621984685955,2.511463384198656,1.1280361419225704,0.20423812682333772,0.46873828450360916,5.092105164583717,5.331800515801338,1.0885174580800243,1.310286845384351,-3.0608368780155146,-0.4428219438316909,0.10886010573947796,0.18678724859906012,0.10084119042733788,0.05617946776970477,-0.3542966113948485,0.03404564377859485,0.04564666886385331,0.04000385851734901
RNF7,1.0,3.5652127601981864,1.4202621209980435,1.118501220385017,0.3451499094386058,0.14083166954741266,0.7799965738430646,2.6896466109550055,2.486795722053012,0.23705034529539964,-3.061463499565264,-0.2936037659185167,0.09139313156888082,-0.05596848963023216,-0.35103730248198317,0.28788271096933626,0.7899132617715751,0.4870200144097161,-0.2806998744052327,-0.1923392218068791
RABGEF1,1.0,3.4868010556287694,0.47447578912759786,1.1115452966677715,1.3115979773162083,0.7610761540075845,1.8239087409443189,0.825736619004878,0.35715971547950526,0.8792584183177166,-3.0863957268207303,0.11378687794915697,-0.13230530876423277,-0.23064054813020776,-0.08455137144687609,-0.11088764424644205,-0.10973308965551541,0.06403570391488116,-0.10166635548895259,0.22090386579504717
FIBP,1.0,3.789575150531141,0.6468919738518495,1.1086075171837575,0.7508995228170776,0.27719338104710173,0.1979792482280241,0.460610217927495,0.7830955014783273,0.9869280864554194,-3.0961845936073304,-0.04939884744255537,-0.0679088409553082,-0.005156454724593374,0.028545731370878482,-0.04989410858092809,0.057848556300989264,0.06676898183903955,-0.03760531184960923,-0.056723580734136254
