id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
Anp32b	4	1	1	1	21189	0	2.3464	3.7537e-18	2.3364e-07	0.000236	1	4	2.3464
Slc35a1	4	1	1	1	21188	0	1.6271	2.0374e-16	2.3364e-07	0.000236	2	4	1.6271
Gne	4	1	1	1	21187	0	1.0569	1.2336e-14	2.3364e-07	0.000236	3	4	1.0569
Slc35a2	4	1	1	1	21186	0	1.3762	1.4306e-14	2.3364e-07	0.000236	4	4	1.3762
Nans	4	1	1	1	21185	0	1.0357	1.1695e-13	2.3364e-07	0.000236	5	4	1.0357
Wdr7	4	1	1	1	21184	0	1.09	4.768e-12	2.3364e-07	0.000236	6	4	1.09
Dffb	4	1	1	1	21183	0	0.6521	5.101e-12	2.3364e-07	0.000236	7	4	0.6521
Ccdc115	4	1	1	1	21182	0	1.1779	7.9452e-12	2.3364e-07	0.000236	8	4	1.1779
Cmas	4	0.99999	0.99999	1	21166	0	1.3493	1.2099e-11	2.3364e-07	0.000236	9	4	1.3493
Cmtr1	4	1	1	1	21181	0	1.4685	2.7748e-11	2.3364e-07	0.000236	10	4	1.4685
Atp6v0d1	4	1	1	1	21180	0	0.58434	5.0052e-11	2.3364e-07	0.000236	11	4	0.58434
St3gal4	4	1	1	1	21179	0	0.42062	1.3195e-10	2.3364e-07	0.000236	12	4	0.42062
Dmxl1	4	1	1	1	21178	0	0.62578	2.8079e-10	2.3364e-07	0.000236	13	4	0.62578
Dffa	4	1	1	1	21173	0	0.61892	1.4342e-09	2.3364e-07	0.000236	14	4	0.61892
Casp3	4	1	1	1	21169	0	0.62824	2.5556e-09	2.3364e-07	0.000236	15	4	0.62824
Hsd17b10	4	0.99999	0.99999	1	21162	0	0.85231	6.4975e-09	2.3364e-07	0.000236	16	4	0.85231
Casp9	4	1	1	1	21175	0	0.46688	8.3115e-09	2.3364e-07	0.000236	17	4	0.46688
Ugp2	4	0.55766	0.63575	1	12878	1	0.61117	9.333e-09	2.3364e-07	0.000236	18	3	0.61117
Tmem199	4	1	1	1	21177	0	0.60708	2.129e-08	2.3364e-07	0.000236	19	4	0.60708
Irf8	4	1	1	1	21176	0	0.43362	3.7496e-08	2.3364e-07	0.000236	20	4	0.43362
Luc7l2	4	0.99999	0.99999	1	21164	0	0.61976	3.8002e-08	2.3364e-07	0.000236	21	4	0.61976
Nme6	4	1	1	1	21174	0	0.56788	1.5569e-07	7.0091e-07	0.000571	22	4	0.56788
Atp6v1d	4	0.99986	0.99986	1	21136	0	0.58403	2.7606e-07	7.0091e-07	0.000571	23	4	0.58403
Mtg2	4	1	1	1	21172	0	0.50868	2.833e-07	7.0091e-07	0.000571	24	4	0.50868
Apaf1	4	0.99999	0.99999	1	21158	0	0.40557	2.9683e-07	7.0091e-07	0.000571	25	4	0.40557
Mlst8	4	1	1	1	21171	0	0.37955	3.1682e-07	7.0091e-07	0.000571	26	4	0.37955
Dyrk1a	4	1	1	1	21170	0	0.38242	5.3498e-07	1.1682e-06	0.000884	27	4	0.38242
Mrpl20	4	1	1	1	21168	0	0.8838	6.3219e-07	1.1682e-06	0.000884	28	4	0.8838
Mipep	4	0.99993	0.99994	1	21144	0	0.56387	8.1452e-07	2.1027e-06	0.001536	29	4	0.56387
Ndufa2	4	0.98625	0.98622	1	20695	0	0.50777	1.3713e-06	4.4391e-06	0.003135	30	4	0.50777
Atp6v1a	4	0.90625	0.90597	1	18801	0	0.55622	1.6332e-06	4.9063e-06	0.003354	31	3	0.55622
Atp6v1h	4	0.827	0.82656	1	17115	0	0.52515	2.3232e-06	6.7754e-06	0.004486	32	3	0.52515
Polg2	4	0.99996	0.99996	1	21150	0	0.6962	2.9203e-06	9.579e-06	0.006151	33	4	0.6962
Alad	4	0.99972	0.99972	1	21122	0	0.39685	3.208e-06	1.0981e-05	0.006843	34	4	0.39685
Slc25a26	4	0.99993	0.99993	1	21142	0	0.59682	4.8554e-06	1.6121e-05	0.00976	35	4	0.59682
Sgf29	4	0.99998	0.99998	1	21157	0	0.56518	5.3677e-06	1.7055e-05	0.010039	36	4	0.56518
Slc4a7	4	0.99999	0.99999	1	21167	0	0.41345	6.6669e-06	2.0794e-05	0.011908	37	4	0.41345
Ror2	4	0.99999	0.99999	1	21165	0	0.33946	8.8867e-06	2.827e-05	0.015763	38	4	0.33946
Opa1	4	0.97896	0.97898	1	20491	0	0.4454	9.2362e-06	3.0606e-05	0.016629	39	3	0.4454
C1qbp	4	0.99999	0.99999	1	21163	0	0.40012	9.8708e-06	3.2943e-05	0.017091	40	4	0.40012
Rnaseh1	4	0.99999	0.99999	1	21161	0	0.35492	1.0244e-05	3.341e-05	0.017091	41	4	0.35492
Ndufa8	4	0.99999	0.99999	1	21160	0	0.27688	1.0688e-05	3.3877e-05	0.017091	42	4	0.27688
Rictor	4	0.8306	0.83014	1	17198	0	0.39344	1.1372e-05	3.7615e-05	0.018536	43	3	0.39344
Mafb	4	0.99895	0.99895	1	21073	0	0.36334	1.1645e-05	3.9017e-05	0.018789	44	4	0.36334
Mtif2	4	0.99999	0.99999	1	21159	0	0.40445	1.2793e-05	4.5559e-05	0.021452	45	4	0.40445
Ppa2	4	0.97919	0.9792	1	20497	0	0.33091	1.3882e-05	4.9764e-05	0.022857	46	3	0.33091
Malsu1	4	0.88565	0.88539	1	18356	0	0.40413	1.458e-05	5.0699e-05	0.022857	47	3	0.40413
Coa4	4	0.97023	0.97012	1	20280	0	0.43609	1.6373e-05	5.6773e-05	0.025062	48	3	0.43609
Ywhae	4	0.99998	0.99998	1	21156	0	0.4293	1.967e-05	6.7988e-05	0.0294	49	4	0.4293
Dhx30	4	0.99994	0.99995	1	21145	0	0.37405	2.1658e-05	7.4997e-05	0.031782	50	4	0.37405
Ndufs2	4	0.99992	0.99992	1	21141	0	0.53271	2.2302e-05	7.7333e-05	0.03213	51	4	0.53271
Qk	4	0.99998	0.99998	1	21155	0	0.54778	2.3639e-05	8.294e-05	0.033033	52	4	0.54778
Asb6	4	0.97201	0.97192	1	20329	0	0.32535	2.3948e-05	8.3875e-05	0.033033	53	3	0.32535
Cd209f	7	0.99884	0.99878	1	21065	0	0.29389	2.4273e-05	0.00015911	0.049003	54	6	0.29389
Cpox	4	0.98268	0.98268	1	20576	0	0.39741	2.4344e-05	8.5277e-05	0.033033	55	3	0.39741
Atp5e	4	0.99268	0.99266	1	20866	0	0.43998	2.5509e-05	8.8548e-05	0.033504	56	4	0.43998
Coa7	4	0.71205	0.72862	1	14989	1	0.36363	2.671e-05	9.0884e-05	0.033785	57	3	0.36363
Trub2	3	0.99995	0.99995	1	21147	0	0.56158	2.8075e-05	8.5744e-05	0.033033	58	3	0.56158
Akt1	4	0.99954	0.99956	1	21103	0	0.36964	2.8221e-05	9.6959e-05	0.035422	59	4	0.36964
Pum2	4	0.99997	0.99997	1	21154	0	0.25687	2.9608e-05	0.00010163	0.036499	60	4	0.25687
Lrpprc	4	0.99185	0.99184	1	20839	0	0.32562	3.2006e-05	0.00010911	0.038531	61	4	0.32562
Nxt1	4	0.99896	0.99896	1	21074	0	0.31054	3.7957e-05	0.00013013	0.045204	62	4	0.31054
Dcaf7	4	0.99996	0.99996	1	21153	0	0.26031	3.9869e-05	0.00013761	0.04703	63	4	0.26031
Hoga1	4	0.99996	0.99996	1	21152	0	0.29523	4.0888e-05	0.00014088	0.047383	64	4	0.29523
Arpc5	4	0.99996	0.99996	1	21151	0	0.24728	4.1953e-05	0.00014649	0.048499	65	4	0.24728
Dpm2	4	0.99884	0.99883	1	21064	0	0.34327	4.5574e-05	0.00015724	0.049003	66	4	0.34327
Dpcd	4	0.99995	0.99995	1	21149	0	0.285	4.6592e-05	0.00015957	0.049003	67	4	0.285
Alg3	4	0.99972	0.99973	1	21123	0	0.29531	4.664e-05	0.00015957	0.049003	68	4	0.29531
Srm	4	0.51526	0.61462	1	12392	1	0.30456	4.7878e-05	0.00016425	0.049717	69	3	0.30456
Gm7030	3	0.99995	0.99996	1	21148	0	0.3284	4.8887e-05	0.00014929	0.048667	70	3	0.3284
Ncaph2	8	0.12099	0.30536	1	5018	3	-0.0058873	4.996e-05	0.00034928	0.092512	71	3	-0.0058873
Hid1	4	0.99995	0.99995	1	21146	0	0.22595	5.2313e-05	0.00018153	0.054177	72	4	0.22595
Cox10	4	0.77612	0.77894	1	16071	1	0.37789	6.3136e-05	0.00022896	0.067382	73	3	0.37789
Smim26	4	0.99993	0.99993	1	21143	0	0.23476	6.8766e-05	0.00025256	0.073308	74	4	0.23476
Coa6	4	0.99991	0.99991	1	21140	0	0.33071	7.6442e-05	0.00028527	0.081683	75	4	0.33071
Bola1	4	0.28087	0.42042	1	8426	1	0.19856	8.1343e-05	0.00030863	0.085999	76	2	0.19856
Rptor	4	0.9991	0.9991	1	21080	0	0.43155	8.2342e-05	0.00031097	0.085999	77	4	0.43155
Supt20	4	0.99483	0.99483	1	20922	0	0.36058	8.369e-05	0.00031517	0.085999	78	4	0.36058
Lcp1	4	0.9879	0.9879	1	20730	0	0.32844	8.4143e-05	0.00031658	0.085999	79	4	0.32844
Ezh2	4	0.99547	0.99548	1	20946	0	0.30735	9.2775e-05	0.00034414	0.092305	80	4	0.30735
Tfb1m	4	0.98483	0.98482	1	20647	0	0.44551	0.00010128	0.00038433	0.100538	81	4	0.44551
Ephb6	4	0.64185	0.68286	1	13944	1	0.23504	0.00010904	0.00041237	0.106556	82	3	0.23504
Acbd3	4	0.99988	0.99989	1	21139	0	0.21363	0.00011501	0.0004348	0.110998	83	4	0.21363
Egln1	4	0.99966	0.99967	1	21114	0	0.39	0.00011745	0.00044554	0.112388	84	4	0.39
Slc25a51	4	0.036244	0.093107	0.956885	1957	1	0.26994	0.00012056	0.00046143	0.115026	85	3	0.26994
Coa3	4	0.99627	0.99627	1	20963	0	0.30163	0.00012349	0.00046984	0.115682	86	4	0.30163
Atp6ap1	4	0.99988	0.99988	1	21138	0	0.26701	0.00012457	0.00047498	0.115682	87	4	0.26701
Fam122c	4	0.76312	0.76808	1	15837	1	0.27778	0.00012882	0.00049133	0.118306	88	3	0.27778
Acad9	4	0.99987	0.99988	1	21137	0	0.23694	0.00013333	0.00051143	0.12176	89	4	0.23694
Pet117	4	0.99978	0.99978	1	21127	0	0.37128	0.00013723	0.00052358	0.123267	90	4	0.37128
Med19	4	0.097319	0.20992	1	4197	1	0.2521	0.0001482	0.00056703	0.129398	91	2	0.2521
Atp6v1e1	4	0.75667	0.76273	1	15719	1	0.41148	0.00014886	0.00056843	0.129398	92	3	0.41148
Rras2	4	0.99985	0.99986	1	21135	0	0.23076	0.0001495	0.00056984	0.129398	93	4	0.23076
Trmu	4	0.99985	0.99986	1	21134	0	0.36753	0.00014991	0.00057404	0.129398	94	4	0.36753
Bcl2l11	4	0.99967	0.99968	1	21115	0	0.27096	0.00016143	0.0006161	0.137415	95	4	0.27096
F11r	4	0.99984	0.99985	1	21133	0	0.21246	0.00016342	0.0006231	0.137531	96	4	0.21246
Calhm1	4	0.99983	0.99984	1	21132	0	0.19456	0.00016598	0.00063058	0.137746	97	4	0.19456
Gfm2	4	0.97297	0.97287	1	20345	0	0.30898	0.0001723	0.00065441	0.140864	98	3	0.30898
Brd3	4	0.99983	0.99984	1	21131	0	0.33159	0.00017369	0.00065815	0.140864	99	4	0.33159
Mrpl55	4	0.99982	0.99982	1	21130	0	0.37801	0.0001834	0.0006932	0.146881	100	4	0.37801
Ddi2	4	0.98695	0.98693	1	20711	0	0.30138	0.00018861	0.00071329	0.149642	101	4	0.30138
Cbfb	4	0.99298	0.99296	1	20874	0	0.34472	0.00019687	0.00074974	0.155746	102	4	0.34472
Pomc	4	0.94452	0.94437	1	19656	0	0.303	0.00020168	0.00076562	0.157503	103	3	0.303
Kti12	4	0.99927	0.99927	1	21093	0	0.35547	0.00020739	0.00078758	0.160463	104	4	0.35547
Ndufb4	4	0.99979	0.99979	1	21129	0	0.23353	0.00021232	0.00080581	0.162612	105	4	0.23353
Fyb	4	0.99978	0.99978	1	21128	0	0.35857	0.00022076	0.00083665	0.167243	106	4	0.35857
Pcnx3	4	0.47583	0.59641	1	11969	1	0.29488	0.000228	0.00086889	0.170563	107	3	0.29488
Ube4b	4	0.99977	0.99978	1	21126	0	0.27303	0.00022805	0.00086936	0.170563	108	4	0.27303
Isca1	4	0.80544	0.80543	1	16648	1	0.45682	0.00023936	0.00091375	0.177627	109	3	0.45682
Onecut2	4	0.99974	0.99975	1	21125	0	0.2145	0.00025594	0.00096421	0.184239	110	4	0.2145
Chd9	4	0.99974	0.99975	1	21124	0	0.2187	0.00025635	0.00096515	0.184239	111	4	0.2187
Tob2	4	0.052	0.12448	0.971662	2584	1	0.30354	0.00026462	0.0010049	0.188425	112	3	0.30354
Ppp1r21	4	0.80258	0.8027	1	16589	1	0.26279	0.00026924	0.0010184	0.189291	113	3	0.26279
Vars2	4	0.99963	0.99964	1	21110	0	0.36539	0.00027169	0.0010282	0.189453	114	4	0.36539
Ndufaf7	4	0.98593	0.98592	1	20685	0	0.30857	0.00028443	0.0010693	0.193831	115	4	0.30857
Tada2b	4	0.9996	0.99961	1	21107	0	0.35687	0.00028493	0.0010703	0.193831	116	4	0.35687
Prorp	4	0.91125	0.91103	1	18926	0	0.35104	0.00028825	0.0010829	0.194454	117	3	0.35104
Dll4	4	0.99971	0.99972	1	21121	0	0.22619	0.00029066	0.0010922	0.194484	118	4	0.22619
Ndufc2	4	0.9997	0.99971	1	21120	0	0.3381	0.00029642	0.0011156	0.195545	119	4	0.3381
Ten1	4	0.9997	0.99971	1	21119	0	0.29629	0.00029858	0.0011217	0.195545	120	4	0.29629
Cox17	4	0.71939	0.73397	1	15108	1	0.40907	0.00029954	0.0011259	0.195545	121	3	0.40907
Ptcd1	4	0.94021	0.94012	1	19557	0	0.37311	0.00030228	0.0011371	0.195887	122	3	0.37311
Pik3ap1	4	0.99968	0.9997	1	21118	0	0.3621	0.00031585	0.0011862	0.202691	123	4	0.3621
Chchd1	4	0.99968	0.99969	1	21117	0	0.27172	0.00032186	0.0012081	0.204792	124	4	0.27172
Olfr382	4	0.99967	0.99969	1	21116	0	0.24351	0.00032684	0.0012278	0.206245	125	4	0.24351
Gtpbp8	4	0.98333	0.98334	1	20594	0	0.27644	0.00032916	0.0012362	0.206245	126	3	0.27644
Pias1	4	0.99966	0.99967	1	21113	0	0.265	0.00034379	0.0012894	0.210777	127	4	0.265
Atxn2l	4	0.99966	0.99967	1	21112	0	0.26422	0.00034443	0.0012913	0.210777	128	4	0.26422
Rogdi	4	0.83518	0.83471	1	17295	0	0.24087	0.00034532	0.0012932	0.210777	129	3	0.24087
Mcm3ap	4	0.54906	0.6313	1	12781	1	0.34566	0.0003558	0.0013404	0.216359	130	3	0.34566
Kif21a	4	0.75639	0.76251	1	15712	1	0.2468	0.00035668	0.0013478	0.216359	131	3	0.2468
Meaf6	4	0.99963	0.99965	1	21111	0	0.24175	0.00036536	0.0013843	0.220539	132	4	0.24175
Tpcn1	4	0.99202	0.99202	1	20842	0	0.30804	0.00037859	0.0014282	0.223769	133	4	0.30804
Atp6v1g1	4	0.9971	0.9971	1	20990	0	0.35369	0.00038274	0.0014427	0.223769	134	4	0.35369
Bdnf	4	0.8607	0.86029	1	17854	0	0.21876	0.00038393	0.0014455	0.223769	135	3	0.21876
Nras	4	0.99961	0.99963	1	21109	0	0.22276	0.00038558	0.0014525	0.223769	136	4	0.22276
Nebl	4	0.99961	0.99962	1	21108	0	0.18245	0.00038961	0.0014665	0.223769	137	4	0.18245
Isca2	4	0.97881	0.97881	1	20485	0	0.30469	0.00038993	0.0014679	0.223769	138	3	0.30469
Mrpl33	4	0.99492	0.99492	1	20926	0	0.32257	0.00039756	0.001495	0.226273	139	4	0.32257
Coa5	4	0.9821	0.9821	1	20564	0	0.38395	0.00040392	0.001517	0.227969	140	3	0.38395
Rraga	4	0.99959	0.9996	1	21106	0	0.2624	0.00040691	0.0015347	0.229013	141	4	0.2624
Eral1	4	0.99958	0.99959	1	21105	0	0.41768	0.00042403	0.0015838	0.234681	142	4	0.41768
Dennd1b	4	0.99957	0.99959	1	21104	0	0.18943	0.00042836	0.0016025	0.234927	143	4	0.18943
Pde4dip	4	0.33427	0.47603	1	9483	1	0.27987	0.00042967	0.0016076	0.234927	144	3	0.27987
Mrpl17	4	0.77269	0.77607	1	16006	1	0.15816	0.00045499	0.0017076	0.24783	145	2	0.15816
Pnpla7	4	0.37957	0.52357	1	10432	2	0.15018	0.00046412	0.0017422	0.251128	146	2	0.15018
Icmt	4	0.99829	0.99829	1	21038	0	0.45219	0.00046976	0.0017684	0.252608	147	4	0.45219
Nrg1	4	0.99953	0.99955	1	21102	0	0.1611	0.00047219	0.0017763	0.252608	148	4	0.1611
Gm13272	13	0.99922	0.99919	1	21091	0	0.15042	0.00047574	0.0036786	0.387893	149	10	0.15042
Slc5a10	4	0.99952	0.99953	1	21101	0	0.15593	0.00048111	0.0018114	0.255875	150	4	0.15593
C1ql1	4	0.99303	0.99301	1	20876	0	0.26844	0.00050889	0.0019104	0.268081	151	4	0.26844
Dmac1	4	0.98395	0.98395	1	20612	0	0.26406	0.00052361	0.0019646	0.273873	152	3	0.26406
Lamtor3	2	0.99947	0.99945	1	21100	0	0.36336	0.00052994	0.00099692	0.188425	153	2	0.36336
Ak2	4	0.98859	0.9886	1	20751	0	0.31757	0.00053689	0.002009	0.276617	154	4	0.31757
Ndufaf5	4	0.99946	0.99947	1	21099	0	0.22561	0.00053788	0.0020104	0.276617	155	4	0.22561
Scrib	4	0.79908	0.79946	1	16525	1	0.30423	0.00054347	0.0020282	0.27726	156	3	0.30423
Hormad2	4	0.82032	0.81993	1	16967	0	0.18377	0.00056311	0.00211	0.286589	157	3	0.18377
H2-Ab1	4	0.97427	0.97415	1	20376	0	0.29725	0.00056909	0.0021366	0.288358	158	3	0.29725
Gjb3	4	0.99875	0.99875	1	21054	0	0.25169	0.00057794	0.002167	0.290607	159	4	0.25169
Ptp4a2	4	0.99883	0.99883	1	21062	0	0.27527	0.00058851	0.0022011	0.293162	160	4	0.27527
Rdh14	4	0.99941	0.99941	1	21098	0	0.18558	0.00059243	0.0022137	0.293162	161	4	0.18558
Tfam	4	0.9994	0.9994	1	21097	0	0.29595	0.00059799	0.002238	0.293852	162	4	0.29595
Hmbs	4	0.9126	0.9124	1	18954	0	0.24965	0.00060087	0.0022466	0.293852	163	3	0.24965
Cox15	4	0.9994	0.9994	1	21096	0	0.30109	0.00060437	0.0022609	0.293901	164	4	0.30109
Gm5142	4	0.32716	0.46863	1	9340	1	0.25511	0.00062695	0.0023469	0.301831	165	3	0.25511
Dpm1	4	0.99597	0.99598	1	20959	0	0.28256	0.00063162	0.0023618	0.301831	166	4	0.28256
Hapln2	4	0.91411	0.91389	1	18988	0	0.18555	0.00063208	0.0023646	0.301831	167	3	0.18555
Atxn7l1	4	0.83514	0.83466	1	17293	0	0.21055	0.00065069	0.0024356	0.309035	168	3	0.21055
Mrrf	4	0.99932	0.99933	1	21095	0	0.22447	0.00068	0.0025398	0.320338	169	4	0.22447
Fam98b	4	0.9993	0.99931	1	21094	0	0.18803	0.00069689	0.0026029	0.324432	170	4	0.18803
Cox11	4	0.75408	0.7607	1	15676	1	0.2847	0.00071007	0.0026487	0.328209	171	3	0.2847
Cox19	4	0.75225	0.75923	1	15643	1	0.10449	0.0007596	0.0028211	0.347479	172	2	0.10449
Mocs3	4	0.99924	0.99924	1	21092	0	0.41931	0.00076391	0.002837	0.347479	173	4	0.41931
Actr5	4	0.98309	0.9831	1	20588	0	0.26728	0.00077878	0.0028912	0.35058	174	3	0.26728
Sema5a	4	0.91705	0.91686	1	19045	0	0.16566	0.00079683	0.0029567	0.355583	175	2	0.16566
Fxr2	4	0.9992	0.99919	1	21090	0	0.20252	0.00080421	0.0029852	0.355583	176	4	0.20252
Rpn2	4	0.81585	0.81555	1	16867	1	0.31884	0.00080563	0.0029894	0.355583	177	3	0.31884
Lamtor2	4	0.99372	0.99371	1	20892	0	0.31419	0.00081059	0.0030048	0.355583	178	4	0.31419
Pdk3	4	0.99919	0.99918	1	21089	0	0.19107	0.00081483	0.0030207	0.355583	179	4	0.19107
Taf4	4	0.99917	0.99916	1	21088	0	0.16796	0.00083047	0.0030739	0.358112	180	4	0.16796
Cog6	4	0.99916	0.99915	1	21087	0	0.18029	0.0008421	0.0031123	0.358112	181	4	0.18029
Btk	4	0.99915	0.99915	1	21086	0	0.28695	0.00084658	0.0031272	0.358112	182	4	0.28695
Xpot	4	0.99915	0.99915	1	21085	0	0.23805	0.00084733	0.0031342	0.358112	183	4	0.23805
Ttc39c	4	0.99915	0.99915	1	21084	0	0.14642	0.00084858	0.0031394	0.358112	184	4	0.14642
Atp6ap2	4	0.99222	0.99222	1	20849	0	0.24924	0.00085078	0.0031436	0.358112	185	4	0.24924
Irgc1	4	0.99913	0.99913	1	21083	0	0.16089	0.00086877	0.0032113	0.363361	186	4	0.16089
Vapa	4	0.86249	0.86213	1	17885	0	0.24617	0.00087213	0.0032239	0.363361	187	3	0.24617
Cox8a	4	0.99911	0.99911	1	21082	0	0.3028	0.00088853	0.0032861	0.365125	188	4	0.3028
Zfp160	4	0.99361	0.9936	1	20889	0	0.21552	0.00089088	0.0032964	0.365125	189	4	0.21552
Ndufs8	4	0.99911	0.99911	1	21081	0	0.2034	0.00089229	0.0033024	0.365125	190	4	0.2034
Kat6b	4	0.99906	0.99905	1	21079	0	0.22672	0.00094308	0.0034772	0.380907	191	4	0.22672
Syvn1	4	0.99894	0.99894	1	21072	0	0.27723	0.00094565	0.0034875	0.380907	192	4	0.27723
Adss	4	0.94168	0.94157	1	19591	0	0.27929	0.00095012	0.0035094	0.38134	193	3	0.27929
Syk	4	0.99904	0.99903	1	21078	0	0.33425	0.00096465	0.0035538	0.384194	194	4	0.33425
Lig3	4	0.90684	0.90659	1	18822	0	0.25558	0.00097331	0.0035786	0.384907	195	3	0.25558
Bloc1s4	4	0.92627	0.92609	1	19249	0	0.1652	0.00099229	0.0036468	0.387893	196	2	0.1652
Mrpl30	4	0.85882	0.85844	1	17819	0	0.32339	0.00099332	0.003652	0.387893	197	3	0.32339
Tmem185b	4	0.41247	0.55795	1	11111	1	0.24169	0.0010166	0.0037342	0.387893	198	3	0.24169
Opalin	4	0.99898	0.99897	1	21077	0	0.16413	0.0010235	0.0037576	0.387893	199	4	0.16413
Aard	4	0.65133	0.68851	1	14081	1	0.2481	0.001025	0.0037627	0.387893	200	3	0.2481
Itgae	4	0.86574	0.86537	1	17947	0	0.23119	0.0010269	0.0037674	0.387893	201	3	0.23119
G3bp1	4	0.99897	0.99897	1	21076	0	0.17604	0.0010275	0.0037678	0.387893	202	4	0.17604
Atp6v1f	4	0.99897	0.99897	1	21075	0	0.25606	0.0010284	0.0037711	0.387893	203	4	0.25606
Ddx39b	4	0.98869	0.98871	1	20753	0	0.25497	0.0010386	0.0038122	0.390228	204	4	0.25497
Cox20	4	0.56344	0.63882	1	12957	1	0.18881	0.0010621	0.0039061	0.39776	205	2	0.18881
Mocs1	4	0.9338	0.93357	1	19414	0	0.19557	0.0010696	0.0039304	0.39776	206	3	0.19557
Tsfm	4	0.99893	0.99892	1	21071	0	0.24766	0.0010727	0.0039421	0.39776	207	4	0.24766
Atp6v0e	4	0.99891	0.9989	1	21070	0	0.18319	0.0010871	0.0039968	0.401154	208	4	0.18319
Wars2	4	0.99891	0.9989	1	21069	0	0.3452	0.0010934	0.0040136	0.401154	209	4	0.3452
Slc36a1	4	0.9989	0.99889	1	21068	0	0.17331	0.001101	0.0040496	0.402849	210	4	0.17331
Serpinb13	4	0.99889	0.99888	1	21067	0	0.14095	0.0011105	0.00408	0.403974	211	4	0.14095
Izumo3	4	0.8692	0.86882	1	18024	0	0.18374	0.0011201	0.0041164	0.405687	212	3	0.18374
Mtfmt	4	0.99886	0.99885	1	21066	0	0.17114	0.001143	0.0041973	0.409842	213	4	0.17114
Pef1	4	0.99884	0.99883	1	21063	0	0.14478	0.0011644	0.0042762	0.415637	214	4	0.14478
Elavl1	4	0.99882	0.99882	1	21061	0	0.45665	0.0011806	0.0043379	0.416883	215	4	0.45665
Zfp330	4	0.99351	0.99349	1	20884	0	0.22754	0.0011816	0.0043398	0.416883	216	4	0.22754
Mrps25	4	0.99881	0.99881	1	21060	0	0.34175	0.0011893	0.0043706	0.416883	217	4	0.34175
Klf13	4	0.99879	0.99879	1	21059	0	0.19137	0.0012094	0.0044407	0.416883	218	4	0.19137
Fam209	4	0.99879	0.99879	1	21058	0	0.16169	0.001212	0.004451	0.416883	219	4	0.16169
Hif1an	4	0.99878	0.99878	1	21057	0	0.20573	0.0012153	0.0044641	0.416883	220	4	0.20573
Mtrf1l	4	0.77115	0.77477	1	15979	1	0.32401	0.0012214	0.004486	0.416883	221	3	0.32401
Hsp90b1	4	0.99878	0.99878	1	21056	0	0.21969	0.0012241	0.0044963	0.416883	222	4	0.21969
Mrpl28	4	0.78427	0.78597	1	16227	1	0.16569	0.0012299	0.0045197	0.416883	223	2	0.16569
Med25	4	0.99876	0.99876	1	21055	0	0.28791	0.001236	0.0045454	0.416883	224	4	0.28791
Capsl	4	0.51219	0.61315	1	12351	1	0.28101	0.0012426	0.0045743	0.416883	225	3	0.28101
Psme4	4	0.99767	0.99768	1	21013	0	0.21865	0.0012426	0.0045748	0.416883	226	4	0.21865
Enho	4	0.99875	0.99874	1	21053	0	0.1697	0.0012537	0.004608	0.417259	227	4	0.1697
Sgms1	4	0.92783	0.92759	1	19282	0	0.22794	0.0012621	0.0046412	0.418475	228	3	0.22794
Atp6v0a4	4	0.96347	0.96338	1	20113	0	0.22174	0.0012716	0.0046762	0.418787	229	3	0.22174
Flcn	4	0.90243	0.90208	1	18699	0	0.29275	0.0012756	0.0046842	0.418787	230	3	0.29275
Mgat1	4	0.99871	0.99872	1	21052	0	0.24491	0.0012865	0.0047211	0.419683	231	4	0.24491
Cd164l2	4	0.9987	0.99871	1	21051	0	0.25958	0.0013003	0.0047697	0.419683	232	4	0.25958
Noa1	4	0.9987	0.9987	1	21050	0	0.28128	0.001301	0.0047734	0.419683	233	4	0.28128
Ptprc	4	0.95431	0.95416	1	19905	0	0.26861	0.0013095	0.0047996	0.42024	234	3	0.26861
Zc3h18	4	0.99868	0.99869	1	21049	0	0.19665	0.001319	0.0048379	0.421851	235	4	0.19665
Arid1a	4	0.97696	0.97693	1	20442	0	0.20326	0.001327	0.0048692	0.422841	236	3	0.20326
Sco1	4	0.99771	0.99771	1	21015	0	0.27012	0.001338	0.0049047	0.424187	237	4	0.27012
Mtpap	4	0.74002	0.74946	1	15440	1	0.36416	0.0013535	0.0049654	0.427695	238	3	0.36416
Dars2	4	0.99864	0.99864	1	21048	0	0.23431	0.0013612	0.0049949	0.428488	239	4	0.23431
Gm13040	11	0.84799	0.93469	1	17577	1	0.099517	0.0013728	0.0089335	0.568445	240	6	0.099517
Mterf3	4	0.99859	0.9986	1	21047	0	0.26618	0.0014122	0.0051696	0.440674	241	4	0.26618
Nr1h3	4	0.12949	0.26198	1	5217	2	0.088865	0.0014142	0.0051785	0.440674	242	2	0.088865
Apcs	4	0.81528	0.81498	1	16857	1	0.16233	0.0014255	0.0052234	0.442713	243	2	0.16233
Mapkap1	4	0.19514	0.33107	1	6656	1	0.21496	0.001453	0.0053201	0.448	244	2	0.21496
Ndufs4	4	0.49155	0.6036	1	12130	1	0.17727	0.0014553	0.005328	0.448	245	2	0.17727
Prkn	4	0.99852	0.99854	1	21046	0	0.21375	0.0014759	0.0054066	0.452804	246	4	0.21375
