id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
Gm10193	3	0.46188	0.51579	1	11819	1	0.039955	0.76999	0.77011	1	15975	0	0.039955
NO_SITE_973	1	0.23	0.22964	1	7372	1	-0.095178	0.77	0.77037	1	15976	0	-0.095178
Jam2	4	0.032213	0.084829	0.952072	1794	2	-0.088023	0.77003	0.77503	1	15977	1	-0.088023
Tpd52	4	0.10834	0.2296	1	4566	3	-0.10501	0.7701	0.77509	1	15978	1	-0.10501
Ifih1	4	0.33021	0.47183	1	9398	2	-0.036399	0.77022	0.77518	1	15979	1	-0.036399
Rps9	3	0.6877	0.68874	1	14608	1	0.023547	0.77022	0.77032	1	15980	0	0.023547
Olfr148	4	0.90537	0.90508	1	18768	0	0.0095268	0.77023	0.7752	1	15981	1	0.0095268
Pepd	4	0.10127	0.21704	1	4332	3	-0.0951	0.77025	0.77521	1	15982	1	-0.0951
Anxa10	4	0.1324	0.26507	1	5279	2	-0.077661	0.77028	0.77524	1	15983	1	-0.077661
Olfr1490	4	0.045459	0.11154	0.961532	2325	2	-0.053878	0.77047	0.77539	1	15984	1	-0.053878
Prkar2a	4	0.36815	0.51156	1	10212	2	-0.062509	0.7705	0.77542	1	15985	1	-0.062509
Arg1	4	0.059742	0.1395	0.988137	2845	2	-0.099345	0.77068	0.77556	1	15986	1	-0.099345
Dach1	4	0.9267	0.9265	1	19252	0	0.022288	0.77072	0.77558	1	15987	1	0.022288
Anapc5	4	0.28573	0.4255	1	8538	2	-0.088876	0.77075	0.77561	1	15988	1	-0.088876
Dnajb2	4	0.020094	0.059481	0.938615	1275	2	-0.1021	0.77082	0.77567	1	15989	1	-0.1021
NO_SITE_386	1	0.22904	0.2287	1	7345	1	-0.087352	0.77096	0.7713	1	15990	0	-0.087352
Timm44	4	0.20422	0.34053	1	6854	2	-0.1305	0.77097	0.7758	1	15991	1	-0.1305
Mcee	4	0.88639	0.88614	1	18373	0	0.011199	0.77102	0.77585	1	15992	1	0.011199
NO_SITE_600	1	0.22894	0.22861	1	7343	1	-0.15582	0.77106	0.7714	1	15993	0	-0.15582
NO_SITE_755	1	0.22892	0.22858	1	7342	1	-0.10413	0.77108	0.77143	1	15994	0	-0.10413
Slfn3	4	0.33549	0.47732	1	9505	2	-0.015311	0.77112	0.77594	1	15995	1	-0.015311
Mroh9	4	0.41441	0.56	1	11150	2	-0.045798	0.77113	0.77595	1	15996	1	-0.045798
Efcab1	4	0.085978	0.18912	0.999786	3794	3	-0.09439	0.77117	0.77598	1	15997	1	-0.09439
Ptges3l	5	0.0063736	0.024968	0.841104	538	2	-0.0011638	0.77129	0.80081	1	15998	1	-0.0011638
Zfp148	4	0.19685	0.33288	1	6691	1	-0.0055364	0.77133	0.77611	1	15999	1	-0.0055364
Etnk1	4	0.012725	0.042105	0.913796	917	3	-0.15211	0.77136	0.77614	1	16000	1	-0.15211
Emc7	4	0.42563	0.57172	1	11384	2	-0.052215	0.77144	0.77621	1	16001	1	-0.052215
Timp3	4	0.11088	0.23416	1	4675	2	-0.087628	0.77148	0.77624	1	16002	1	-0.087628
Spata2	4	0.34116	0.48327	1	9624	2	-0.054242	0.77151	0.77627	1	16003	1	-0.054242
Mink1	4	0.20474	0.34109	1	6867	2	-0.02779	0.77153	0.77628	1	16004	1	-0.02779
Zfp873	4	0.098513	0.21202	1	4236	2	-0.058521	0.77158	0.77633	1	16005	1	-0.058521
Vmn2r36	1	0.2284	0.22809	1	7334	1	-0.19499	0.7716	0.77193	1	16006	0	-0.19499
Olfr1170	3	0.10306	0.18517	0.999786	4392	2	-0.12254	0.77166	0.77179	1	16007	0	-0.12254
Vmn2r42	2	0.54888	0.54929	1	12777	1	-0.053549	0.77167	0.77115	1	16008	0	-0.053549
Dgat2	4	0.84061	0.84004	1	17415	0	-0.013777	0.7717	0.77642	1	16009	1	-0.013777
Acadl	4	0.065515	0.1506	0.991531	3047	3	-0.11867	0.77185	0.77655	1	16010	1	-0.11867
Rpl11	1	0.22811	0.2278	1	7330	1	-0.49574	0.77189	0.77221	1	16011	0	-0.49574
Vmn1r185	4	0.025829	0.071706	0.949749	1532	2	-0.063292	0.77202	0.77669	1	16012	1	-0.063292
Myb	4	0.14667	0.28012	1	5585	2	-0.072437	0.7721	0.77676	1	16013	1	-0.072437
Ckb	4	0.92707	0.92686	1	19261	0	0.0095834	0.77211	0.77677	1	16014	1	0.0095834
NO_SITE_831	1	0.22785	0.22753	1	7322	1	-0.094761	0.77215	0.77248	1	16015	0	-0.094761
BC052040	4	0.060987	0.1419	0.988137	2892	2	-0.075397	0.77221	0.77685	1	16016	1	-0.075397
Igfbpl1	4	0.90814	0.90787	1	18852	0	0.032955	0.77225	0.77688	1	16017	1	0.032955
Chd6	4	0.25039	0.38869	1	7784	2	-0.05343	0.77226	0.77689	1	16018	1	-0.05343
NO_SITE_245	1	0.22767	0.22734	1	7316	1	-0.11882	0.77233	0.77265	1	16019	0	-0.11882
Cinp	4	0.024897	0.069725	0.947751	1486	2	-0.11456	0.77236	0.77697	1	16020	1	-0.11456
Aqp7	4	0.0013983	0.0051257	0.495931	215	3	-0.17696	0.77238	0.77698	1	16021	1	-0.17696
Hao2	4	0.33709	0.47898	1	9538	1	0.039532	0.77244	0.77703	1	16022	1	0.039532
Hoxc4	4	0.73559	0.74609	1	15364	1	-0.015833	0.77249	0.77707	1	16023	1	-0.015833
Slc10a4	6	0.031098	0.099499	0.957397	1745	4	-0.09359	0.77261	0.83447	1	16024	1	-0.09359
Olfr1173	3	0.17556	0.28046	1	6217	2	-0.091478	0.77262	0.77273	1	16025	0	-0.091478
Mlkl	4	0.29317	0.43321	1	8678	2	-0.069396	0.77264	0.77719	1	16026	1	-0.069396
NO_SITE_696	1	0.22734	0.22699	1	7309	1	-0.12389	0.77266	0.77299	1	16027	0	-0.12389
Vmn1r87	4	0.3554	0.49815	1	9919	2	-0.068428	0.77271	0.77724	1	16028	1	-0.068428
Serpinb6a	4	0.0094487	0.031934	0.881105	720	2	-0.041395	0.77274	0.77727	1	16029	1	-0.041395
