Gene1	Gene2	std_gene1	std_gene2
BCL6	HDAC4	BCL6	HDAC4
BCL6	HDAC5	BCL6	HDAC5
BCL6	HDAC7	BCL6	HDAC7
EP300	CREBBP	EP300	CREBBP
EP300	KAT2B	EP300	KAT2B
EP300	NCOA3	EP300	NCOA3
CREBBP	KAT2B	CREBBP	KAT2B
CREBBP	NCOA3	CREBBP	NCOA3
KAT2B	NCOA3	KAT2B	NCOA3
Ahr	Arnt	Ahr	Arnt
HPS1	HPS4	HPS1	HPS4
HPS6	HPS3	HPS6	HPS3
HPS6	HPS5	HPS6	HPS5
HPS3	HPS5	HPS3	HPS5
CDS1	MUS81	CDS1	MUS81
HDAC3	TBL1X	HDAC3	TBL1X
HDAC3	NCOR1	HDAC3	NCOR1
HDAC3	GPS2	HDAC3	GPS2
HDAC3	CORO2A	HDAC3	CORO2A
HDAC3	TBL1XR1	HDAC3	TBL1XR1
TBL1X	NCOR1	TBL1X	NCOR1
TBL1X	GPS2	TBL1X	GPS2
TBL1X	CORO2A	TBL1X	CORO2A
TBL1X	TBL1XR1	TBL1X	TBL1XR1
NCOR1	GPS2	NCOR1	GPS2
NCOR1	CORO2A	NCOR1	CORO2A
NCOR1	TBL1XR1	NCOR1	TBL1XR1
GPS2	CORO2A	GPS2	CORO2A
GPS2	TBL1XR1	GPS2	TBL1XR1
CORO2A	TBL1XR1	CORO2A	TBL1XR1
SNAPIN	BLOC1S1	SNAPIN	BLOC1S1
SNAPIN	BLOC1S3	SNAPIN	BLOC1S3
SNAPIN	BLOC1S2	SNAPIN	BLOC1S2
SNAPIN	BLOC1S5	SNAPIN	BLOC1S5
SNAPIN	DTNBP1	SNAPIN	DTNBP1
SNAPIN	BLOC1S4	SNAPIN	BLOC1S4
SNAPIN	BLOC1S6	SNAPIN	BLOC1S6
BLOC1S1	BLOC1S3	BLOC1S1	BLOC1S3
BLOC1S1	BLOC1S2	BLOC1S1	BLOC1S2
BLOC1S1	BLOC1S5	BLOC1S1	BLOC1S5
BLOC1S1	DTNBP1	BLOC1S1	DTNBP1
BLOC1S1	BLOC1S4	BLOC1S1	BLOC1S4
BLOC1S1	BLOC1S6	BLOC1S1	BLOC1S6
BLOC1S3	BLOC1S2	BLOC1S3	BLOC1S2
BLOC1S3	BLOC1S5	BLOC1S3	BLOC1S5
BLOC1S3	DTNBP1	BLOC1S3	DTNBP1
BLOC1S3	BLOC1S4	BLOC1S3	BLOC1S4
BLOC1S3	BLOC1S6	BLOC1S3	BLOC1S6
BLOC1S2	BLOC1S5	BLOC1S2	BLOC1S5
BLOC1S2	DTNBP1	BLOC1S2	DTNBP1
BLOC1S2	BLOC1S4	BLOC1S2	BLOC1S4
BLOC1S2	BLOC1S6	BLOC1S2	BLOC1S6
BLOC1S5	DTNBP1	BLOC1S5	DTNBP1
BLOC1S5	BLOC1S4	BLOC1S5	BLOC1S4
BLOC1S5	BLOC1S6	BLOC1S5	BLOC1S6
DTNBP1	BLOC1S4	DTNBP1	BLOC1S4
DTNBP1	BLOC1S6	DTNBP1	BLOC1S6
BLOC1S4	BLOC1S6	BLOC1S4	BLOC1S6
Aip	Hsp90aa1	Aip	Hsp90aa1
Aip	Hsp90ab1	Aip	Hsp90ab1
Aip	Ahr	Aip	Ahr
Hsp90aa1	Hsp90ab1	Hsp90aa1	Hsp90ab1
Hsp90aa1	Ahr	Hsp90aa1	Ahr
Hsp90ab1	Ahr	Hsp90ab1	Ahr
PPP2R1A	PPP2CA	PPP2R1A	PPP2CA
PPP2R1A	BEST1	PPP2R1A	BEST1
PPP2CA	BEST1	PPP2CA	BEST1
ARPC1B	ARPC2	ARPC1B	ARPC2
ARPC1B	ARPC3	ARPC1B	ARPC3
ARPC1B	ARPC5	ARPC1B	ARPC5
ARPC1B	ARPC4	ARPC1B	ARPC4
ARPC1B	ACTR3	ARPC1B	ACTR3
ARPC1B	ACTR2	ARPC1B	ACTR2
ARPC2	ARPC3	ARPC2	ARPC3
ARPC2	ARPC5	ARPC2	ARPC5
ARPC2	ARPC4	ARPC2	ARPC4
ARPC2	ACTR3	ARPC2	ACTR3
ARPC2	ACTR2	ARPC2	ACTR2
ARPC3	ARPC5	ARPC3	ARPC5
